year,certificate,length,genres,category,rating,metascore,total_votes,US_box_office
2018.0,V,118.0,"Animation, Action, Adventure",Comedy,7.6,80.0,251445.0,608581744.0
2016.0,V,97.0,"Animation, Adventure, Comedy",Comedy,7.3,77.0,241666.0,486295561.0
2019.0,PG,103.0,"Animation, Adventure, Comedy",Comedy,6.9,64.0,138195.0,477373578.0
2004.0,PG,93.0,"Animation, Adventure, Comedy",Comedy,7.2,75.0,420856.0,436471036.0
2019.0,V,100.0,"Animation, Adventure, Comedy",Comedy,7.8,84.0,204876.0,434038008.0
2010.0,V,103.0,"Animation, Adventure, Comedy",Comedy,8.2,92.0,759297.0,415004880.0
2017.0,N-7,119.0,"Action, Adventure, Comedy",Comedy,6.9,58.0,321422.0,404515480.0
2017.0,N-13,136.0,"Action, Adventure, Comedy",Comedy,7.6,67.0,572581.0,389813101.0
2016.0,V,87.0,"Animation, Adventure, Comedy",Comedy,6.5,61.0,183505.0,368384330.0
2013.0,V,98.0,"Animation, Adventure, Comedy",Comedy,7.3,62.0,370636.0,368061265.0
2016.0,N-16,108.0,"Action, Adventure, Comedy",Comedy,8.0,65.0,905433.0,363070709.0
2016.0,N-7,108.0,"Animation, Adventure, Comedy",Comedy,8.0,78.0,435682.0,341268248.0
2015.0,V,91.0,"Animation, Adventure, Comedy",Comedy,6.4,56.0,212824.0,336045770.0
2014.0,N-13,121.0,"Action, Adventure, Comedy",Comedy,8.0,76.0,1046373.0,333176600.0
2018.0,N-16,119.0,"Action, Adventure, Comedy",Comedy,7.7,66.0,482007.0,324591735.0
2007.0,V,93.0,"Animation, Adventure, Comedy",Comedy,6.1,58.0,281449.0,320706665.0
2019.0,PG-13,123.0,"Action, Adventure, Comedy",Comedy,6.6,58.0,189838.0,316831246.0
2017.0,N-13,130.0,"Action, Adventure, Comedy",Comedy,7.9,74.0,590994.0,315058289.0
2009.0,PG,96.0,"Animation, Adventure, Comedy",Comedy,8.2,88.0,938682.0,293004164.0
2001.0,V,92.0,"Animation, Adventure, Comedy",Comedy,8.1,79.0,818103.0,289916256.0
2004.0,PG-13,115.0,"Comedy, Romance",Comedy,6.3,41.0,253418.0,279261160.0
2009.0,R,100.0,Comedy,Comedy,7.7,73.0,718886.0,277322503.0
2018.0,V,85.0,"Animation, Comedy, Family",Comedy,6.3,51.0,56228.0,270620950.0
2016.0,V,108.0,"Animation, Comedy, Family",Comedy,7.1,59.0,134637.0,270395425.0
2013.0,V,104.0,"Animation, Adventure, Comedy",Comedy,7.3,65.0,323571.0,268492764.0
2001.0,PG,90.0,"Animation, Adventure, Comedy",Comedy,7.8,84.0,615376.0,267665011.0
2017.0,V,89.0,"Animation, Adventure, Comedy",Comedy,6.3,49.0,114294.0,264624300.0
2000.0,PG,104.0,"Comedy, Family, Fantasy",Comedy,6.2,46.0,216263.0,260044825.0
2014.0,V,100.0,"Animation, Action, Adventure",Comedy,7.7,83.0,324544.0,257760692.0
2011.0,N-16,102.0,Comedy,Comedy,6.5,44.0,464737.0,254464305.0
2010.0,V,95.0,"Animation, Comedy, Crime",Comedy,7.6,72.0,501992.0,251513985.0
2006.0,PG,108.0,"Adventure, Comedy, Family",Comedy,6.4,48.0,315498.0,250863268.0
1997.0,PG-13,98.0,"Action, Adventure, Comedy",Comedy,7.3,71.0,517179.0,250690539.0
2006.0,V,117.0,"Animation, Comedy, Family",Comedy,7.1,73.0,370199.0,244082982.0
2003.0,PG-13,101.0,"Comedy, Fantasy",Comedy,6.8,46.0,372381.0,242829261.0
2002.0,PG,95.0,"Comedy, Drama, Romance",Comedy,6.6,62.0,120078.0,241438208.0
2010.0,V,93.0,"Animation, Adventure, Comedy",Comedy,6.3,58.0,185396.0,238371987.0
