index,year,certificate,length,category,rating,metascore,total_votes,US_box_office,index,first_genre,second_genre,third_genre
0,2018.0,V,118.0,Comedy,7.6,80.0,251445.0,608581744.0,0,Animation,Action,Adventure
1,2016.0,V,97.0,Comedy,7.3,77.0,241666.0,486295561.0,1,Animation,Adventure,Comedy
2,2019.0,PG,103.0,Comedy,6.9,64.0,138195.0,477373578.0,2,Animation,Adventure,Comedy
3,2004.0,PG,93.0,Comedy,7.2,75.0,420856.0,436471036.0,3,Animation,Adventure,Comedy
4,2019.0,V,100.0,Comedy,7.8,84.0,204876.0,434038008.0,4,Animation,Adventure,Comedy
5,2010.0,V,103.0,Comedy,8.2,92.0,759297.0,415004880.0,5,Animation,Adventure,Comedy
6,2017.0,N-7,119.0,Comedy,6.9,58.0,321422.0,404515480.0,6,Action,Adventure,Comedy
8,2017.0,N-13,136.0,Comedy,7.6,67.0,572581.0,389813101.0,7,Action,Adventure,Comedy
10,2016.0,V,87.0,Comedy,6.5,61.0,183505.0,368384330.0,8,Animation,Adventure,Comedy
11,2013.0,V,98.0,Comedy,7.3,62.0,370636.0,368061265.0,9,Animation,Adventure,Comedy
12,2016.0,N-16,108.0,Comedy,8.0,65.0,905433.0,363070709.0,10,Action,Adventure,Comedy
14,2016.0,N-7,108.0,Comedy,8.0,78.0,435682.0,341268248.0,11,Animation,Adventure,Comedy
15,2015.0,V,91.0,Comedy,6.4,56.0,212824.0,336045770.0,12,Animation,Adventure,Comedy
16,2014.0,N-13,121.0,Comedy,8.0,76.0,1046373.0,333176600.0,13,Action,Adventure,Comedy
17,2018.0,N-16,119.0,Comedy,7.7,66.0,482007.0,324591735.0,14,Action,Adventure,Comedy
18,2007.0,V,93.0,Comedy,6.1,58.0,281449.0,320706665.0,15,Animation,Adventure,Comedy
19,2019.0,PG-13,123.0,Comedy,6.6,58.0,189838.0,316831246.0,16,Action,Adventure,Comedy
20,2017.0,N-13,130.0,Comedy,7.9,74.0,590994.0,315058289.0,17,Action,Adventure,Comedy
