title,year,certificate,length,genres,category,rating,metascore,total_votes,US_box_office
Nerealieji 2,2018,V,118 min,"Animation, Action, Adventure",Comedy,7.6,80,251445,608581744
Žuvytė Dorė,2016,V,97 min,"Animation, Adventure, Comedy",Comedy,7.3,77,241666,486295561
Ledo šalis 2,2019,PG,103 min,"Animation, Adventure, Comedy",Comedy,6.9,64,138195,477373578
Srekas 2,2004,PG,93 min,"Animation, Adventure, Comedy",Comedy,7.2,75,420856,436471036
Žaislu istorija 4,2019,V,100 min,"Animation, Adventure, Comedy",Comedy,7.8,84,204876,434038008
Žaislų istorija 3,2010,V,103 min,"Animation, Adventure, Comedy",Comedy,8.2,92,759297,415004880
Dziumandzi: Sveiki atvyke i dziungles,2017,N-7,119 min,"Action, Adventure, Comedy",Comedy,6.9,58,321422,404515480
Ledo šalis,nan,PG,102 min,"Animation, Adventure, Comedy",Comedy,7.4,75,574091,400738009
Galaktikos sergetojai 2,2017,N-13,136 min,"Action, Adventure, Comedy",Comedy,7.6,67,572581,389813101
Žuviukas Nemo,2003,nan,100 min,"Animation, Adventure, Comedy",Comedy,8.1,90,952183,380843261
Slaptas augintiniu gyvenimas,2016,V,87 min,"Animation, Adventure, Comedy",Comedy,6.5,61,183505,368384330
Bjaurusis as 2,2013,V,98 min,"Animation, Adventure, Comedy",Comedy,7.3,62,370636,368061265
Deadpool,2016,N-16,108 min,"Action, Adventure, Comedy",Comedy,8.0,65,905433,363070709
Išvirkščias pasaulis,nan,V,95 min,"Animation, Adventure, Comedy",Comedy,8.1,94,619288,356461711
Zootropolis,2016,N-7,108 min,"Animation, Adventure, Comedy",Comedy,8.0,78,435682,341268248
Pakalikai,2015,V,91 min,"Animation, Adventure, Comedy",Comedy,6.4,56,212824,336045770
Galaktikos sergėtojai,2014,N-13,121 min,"Action, Adventure, Comedy",Comedy,8.0,76,1046373,333176600
Deadpool 2,2018,N-16,119 min,"Action, Adventure, Comedy",Comedy,7.7,66,482007,324591735
Srekas treciasis,2007,V,93 min,"Animation, Adventure, Comedy",Comedy,6.1,58,281449,320706665
Džiumandži: Kitas lygis,2019,PG-13,123 min,"Action, Adventure, Comedy",Comedy,6.6,58,189838,316831246
Toras. Pasaulių pabaiga,2017,N-13,130 min,"Action, Adventure, Comedy",Comedy,7.9,74,590994,315058289
Aukštyn,2009,PG,96 min,"Animation, Adventure, Comedy",Comedy,8.2,88,938682,293004164
Monstrų biuras,2001,V,92 min,"Animation, Adventure, Comedy",Comedy,8.1,79,818103,289916256
Vienas namuose,1990,nan,103 min,"Comedy, Family",Comedy,7.6,63,490097,285761243
Paskutinis uošviu išbandymas,2004,PG-13,115 min,"Comedy, Romance",Comedy,6.3,41,253418,279261160
Pagirios Las Vegase,2009,R,100 min,Comedy,Comedy,7.7,73,718886,277322503
Grincas,2018,V,85 min,"Animation, Comedy, Family",Comedy,6.3,51,56228,270620950
Dainuok,2016,V,108 min,"Animation, Comedy, Family",Comedy,7.1,59,134637,270395425
Monstru universitetas,2013,V,104 min,"Animation, Adventure, Comedy",Comedy,7.3,65,323571,268492764
Shrek,2001,PG,90 min,"Animation, Adventure, Comedy",Comedy,7.8,84,615376,267665011
Bjaurusis As 3,2017,V,89 min,"Animation, Adventure, Comedy",Comedy,6.3,49,114294,264624300
Kaip Grinčas Kaledas voge,2000,PG,104 min,"Comedy, Family, Fantasy",Comedy,6.2,46,216263,260044825
